Neighbourhood,Area,Residential Units,Latitude,Longtitude
Bunga Matahari,11.88,172,5.8658095,118.0758739
Casa San Uno,38.89,307,5.8652331,118.0725562
Damai & Sri Taman,21.67,123,5.8584821,118.0789209
Evergreen,23.99,48,5.8734638,118.0578338
Garden Villa,25.76,82,5.8632801,118.0489446
Indah,56.27,356,5.8420671,118.066095
Indah Jaya,235.68,2752,5.843796,118.0672005
Lucky & Wemin,43.544,260,5.8631125,118.0627675
Mesra,23.18,1000,5.8612709,118.0776639
Pertama,53.32,438,5.8613392,118.0692765
Tinosan,24.51,235,5.8610315,118.0745175
Tshun Ngen,70.26,304,5.85872755,118.0658041
Tyng,111.7,585,5.8676695,118.0599967
Utama,41.263,329,5.8646006,118.0585691
